path,prediction,ground_truth
C21_517.wav,waː3 saw5 taːw45 3waː3w51,tʰa55 tsʰəŋ35 wei̯51 hwo214 jau̯51 tsʰaŋ55 kʰu51 jɛn35 tɕjou̯55 pi51 lei̯35 ʈʂwaŋ55 ʈʂʐ̩51 wei̯51 kwo35 tɕja55 tsau̯51 pi51 ʈʂʰaŋ214 jɛn35 tɕjou̯55 tɕjɛn35 ʂau̯214 tɕin55 pi51 mwo35 swən214 ɕjau̯55 hau̯51 tɤ0 pan51 fa214
D12_779.wav,kauː3 thaː3 tːa3 thɔː 3,taŋ55 ʐan35 tʰa55 mən0 pu35 ɕjaŋ51 ɤ51 y35 na51 jaŋ51 tʰwən55 ɕja51 ʂʐ̩35 kʰwai̯51 taŋ51 tswo51 ja55 tsʰaŋ55 ʂʐ̩35 aɚ̯35 ʂʐ̩51 mwo35 ʈʂʰəŋ35 fən214 i214 hou̯51 tsʰai̯35 fu35 jʊŋ51
C6_639.wav,pa3 jaː3 naː13 saː5 naː m51,tʰan35 je214 ma35 tsz̩0 ma51 li51 kaŋ55 wo55 naŋ0 li51 kaŋ55 je214 ʐən51 wei̯35 tsz̩51 tɕi214 twei̯51 sʊŋ55 je214 tʰai̯51 tsau̯51 ʈʂʐ̩55 sz̩214 fu51 jou̯214 pu51 kʰɤ214 tʰwei̯55 ɕje51 tɤ0 tsɤ35 ʐən51
D31_855.wav,haːuː3 waː51 laː3 kɔ51,tʰa55 mən0 pu51 in55 ɕyn35 ʂou̯214 tɕjou̯51 pu51 wei̯35 wei̯214 nwo51 nwo51 kan214 y35 fən51 tou̯51 je214 kan214 y35 li35 tɕje214 jau̯51 fən51 tou̯51 tɕjou̯51 hwei̯51 jou̯214 ɕi55 ʂəŋ55 tɤ0 fən51 tou̯51 kwan55
B8_404.wav,kiː3 ː3 ɔ53,je51 tʰi214 ʐu214 je214 kʰai̯55 fa55 lɤ0 ʈʂʰau̯55 kau̯55 wən55 mje51 tɕyn55 nai̯214 iŋ55 aɚ̯35 pʰei̯51 faŋ55 nai̯214 wei̯35 ʂəŋ55 su51 tɕʰjaŋ35 hwa51 nai̯214 kʰɤ35 kʰɤ214 nai̯214 kwo214 ʈʂʐ̩55 nai̯214 təŋ214
C31_736.wav,t͡ɕːuː3 baː3 taː3 ta53,ʈʂɤ51 je214 nan35 kwai̯51 kai̯55 ʈʂʰaŋ214 i214 tsou̯35 ma214 təŋ55 ʂʐ̩51 tɤ0 hwan51 lɤ0 ʂʐ̩35 tɕi214 wei̯51 ʈʂʰaŋ35 ʈʂaŋ214 mei̯35 i35 kɤ51 jou̯214 nəŋ35 nai̯0 pa214 ʈʂʰaŋ214 tsz̩0 ʈʂəŋ214 hau̯214
C19_618.wav,miː3 uːtuː ɔː3 ksaɔːz ɛ̃nŋ3 ɔːn1,i55 tɕjou̯214 sz̩51 i55 njɛn35 ʂʐ̩35 i55 ɥe51 ʂan214 kan55 niŋ35 pjɛn55 tɕʰy55 kən55 tɕy51 san55 san55 ʈʂʐ̩51 ɥɛn35 tsɤ35 tɕy214 ɕiŋ35 tsʰan55 i51 hwei̯51 i51 ɥɛn35 tɕiŋ51 ɕɥɛn214 i55 wei̯51 miŋ35 tɕjau̯51 sən55 tɕjɛn51 tɤ0 ɕɥe35 ɥɛn35 pei̯51 tʰwei̯55 wei̯35 hou̯51 ɕɥɛn214 ʐən35
D13_861.wav,phuː3 j sː3 kaːɔː3 taː51,ti51 aɚ̯51 jau̯51 pa214 tɕiŋ55 tɕi51 ʂou̯214 twan51 hɤ35 tɕʰja51 taŋ51 tɤ0 ɕiŋ35 ʈʂəŋ51 ʂou̯214 twan51 tɕje35 hɤ35 tɕʰi214 lai̯35 tɕja55 i214 yn51 jʊŋ51 tʰɤ51 pje35 jau̯51 ʈʂu51 i51 yn51 jʊŋ51 hau̯214 tɕiŋ55 tɕi51 ʂou̯214 twan51
B33_465.wav,phaːn3 ɔː3 sɔː3s34 saː3 baː3 o21 a1 baː3 ri3w5 taː3 n3 na51,fən214 swei̯51 sz̩51 ʐən35 paŋ55 hou̯51 ʐən35 min35 wən35 ɕɥe35 ʈʂʰu55 pan214 ʂɤ51 ʈʂʰu55 pan214 lɤ0 jaŋ35 ʂwo51 san214 wən35 ɕɥɛn214 jaŋ35 ʂwo51 twan214 pʰjɛn55 ɕjau̯214 ʂwo55 ɕɥɛn214 təŋ35 təŋ214
C13_587.wav,sɔɕ3 ː3 saː1 aŋ3 waː1 taː3 taː a3 s51,ɕin55 hwa35 ʂɤ51 kʰwən55 miŋ35 aɚ̯51 ɥe51 ʂʐ̩35 aɚ̯51 ʐʐ̩51 tjɛn51 wo214 kwo35 ʈʂu51 miŋ35 ʈʂɤ35 ɕɥe35 tɕja55 ai̯51 sz̩55 tɕʰi35 tɤ0 i51 pʰi55 i35 u51 tswei̯51 tɕin51 tsʰʊŋ35 pei̯214 tɕiŋ55 sʊŋ51 waŋ214 yn35 nan35 tʰəŋ35 ʈʂʰʊŋ55
